what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1365856920588
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1365856920588
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1365856920588
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1365856920588
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1365856920588
started,bundle,org.eclipse.wb.core,1.2.0.r36x201109270310,"org.eclipse.wb.core",1365856920588
started,bundle,org.eclipse.wb.core.lib,1.2.0.r36x201109270310,"org.eclipse.wb.core.lib",1365856920588
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r36x201109270333,"org.eclipse.wb.discovery.core",1365856920588
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r36x201109270333,"org.eclipse.wb.discovery.ui",1365856920588
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1365856920588
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1365856920588
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1365856920588
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1365856920588
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1365856920588
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1365856920588
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1365856920588
started,bundle,org.jboss.tools.common,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common",1365856920588
started,bundle,org.jboss.tools.common.model,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model",1365856920588
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1365856920588
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1365856920588
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1365856920588
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1365856920588
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1365856920588
os,sysinfo,,,"win32",1365856920588
arch,sysinfo,,,"x86_64",1365856920588
ws,sysinfo,,,"win32",1365856920588
locale,sysinfo,,,"en_AU",1365856920588
processors,sysinfo,,,"8",1365856920588
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365856920588
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1365856920588
java.specification.name,sysinfo,,,"Java Platform API Specification",1365856920588
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365856920588
java.specification.version,sysinfo,,,"1.6",1365856920588
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1365856920588
java.version,sysinfo,,,"1.6.0_22",1365856920588
java.vm.info,sysinfo,,,"mixed mode",1365856920588
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1365856920588
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365856920588
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365856920588
java.vm.specification.version,sysinfo,,,"1.0",1365856920588
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1365856920588
java.vm.version,sysinfo,,,"17.1-b03",1365856920588
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1365856921914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1365856922444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1365857004017
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1365857017022
stopped,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1365857017443
